timestamp,v4_prefixes,v4_unique_prefixes,v6_prefixes,v6_unique_prefixes,v4_isolated,v6_isolated,v4_distributed,v6_distributed
2011-01-21,2087543,365837,25497,4652,2488,26,92,2
2011-01-23,2088030,365863,25532,4657,2502,28,91,2
2011-01-25,2089754,366139,25600,4668,2483,29,84,2
2011-01-27,2090796,366063,25860,4727,2385,31,93,2
2011-01-29,2076474,363761,26103,4799,2938,34,93,2
2011-01-31,2081634,363851,26094,4785,2384,27,93,2
2011-02-02,2083469,364205,26082,4779,2329,23,89,2
2011-02-04,2102372,367461,26350,4831,2370,22,89,2
2011-02-06,2105565,368095,26565,4861,2403,24,91,2
2011-02-08,2107326,368406,26604,4870,2415,30,89,2
2011-02-10,2110646,368907,26905,4918,2431,25,86,2
2011-02-12,2113218,369617,27413,5009,2359,27,88,2
2011-02-14,2113409,369704,27394,5004,2341,27,87,2
2011-02-16,2113933,369986,27570,5053,2356,22,87,2
2011-02-18,2119538,371492,27973,5129,2346,23,89,2
2011-02-20,2120588,371834,28085,5150,2325,24,90,2
2011-02-22,2121803,372333,28112,5159,2328,21,89,2
2011-02-24,2125400,373204,28481,5219,2376,23,90,2
2011-02-26,2127017,373970,28718,5238,2365,25,96,2
2011-02-28,2126567,374207,28841,5256,2352,25,96,2
2011-03-02,2130422,376004,29412,5334,2443,25,88,2
2011-03-04,2131807,376394,29444,5386,2364,22,85,2
2011-03-06,2138058,379290,29592,5396,2360,24,80,2
2011-03-08,2140359,379963,29355,5336,2332,24,81,2
2011-03-10,2137224,375737,29612,5375,2359,29,79,2
2011-03-12,2138802,376373,30065,5430,2337,26,69,2
2011-03-14,2142292,377046,30168,5448,2338,26,70,2
2011-03-16,2141890,377037,30237,5450,2360,28,71,2
2011-03-18,2494999,380080,35443,5544,2320,25,71,2
2011-03-20,2140598,379675,30587,5522,2381,25,74,2
2011-03-22,2495829,380179,35931,5725,2378,26,74,2
2011-03-24,2497769,380563,36326,6023,2389,29,71,2
2011-03-26,2501962,381418,36428,6079,2454,32,72,2
2011-03-28,2502255,381415,36323,6068,2441,31,70,2
2011-03-30,2503215,381716,36627,6098,2520,28,36,2
2011-04-01,2505116,382270,36021,5629,2542,30,34,2
2011-04-03,2506209,383705,36145,5652,2576,30,35,3
2011-04-05,2505425,382990,36223,5681,2532,30,37,3
2011-04-07,2143378,374540,36721,5778,2190,30,21,3
2011-04-09,2145104,374664,37032,5807,2243,29,20,3
2011-04-11,2509907,381933,37023,5807,2568,29,27,3
2011-04-13,2509924,382010,37126,5832,2568,27,36,3
2011-04-15,2519745,383363,37419,5880,2598,30,35,3
2011-04-17,2520229,383608,37321,5862,2595,30,35,3
2011-04-19,2523851,384193,37471,5885,2648,30,35,3
2011-04-21,2526189,384379,37738,5913,2426,31,35,3
2011-04-23,2530694,385027,37924,5942,2462,29,35,3
2011-04-25,2531639,385339,37923,5936,2594,29,34,3
2011-04-27,2533287,385541,38564,6041,2627,30,35,3
2011-04-29,2534281,386193,39061,6110,2593,31,35,3
2011-05-01,2533858,386158,39171,6124,2558,30,35,3
2011-05-03,2536235,386518,39216,6133,2617,32,35,3
2011-05-05,2540575,387416,39612,6181,2637,31,35,3
2011-05-07,2535686,385347,39844,6209,2613,31,34,3
2011-05-09,2903889,391279,45566,6226,2641,30,39,3
2011-05-11,2537816,385786,40283,6288,2624,33,38,3
2011-05-13,2535573,384960,40455,6309,2644,35,38,3
2011-05-15,2537075,385137,40613,6331,3031,31,37,3
2011-05-17,2537828,385014,40681,6348,3011,31,37,3
2011-05-19,2540870,385460,41072,6410,3019,31,35,3
2011-05-21,2542154,385837,41481,6486,3039,30,37,3
2011-05-23,2543590,386054,41485,6481,3052,31,37,3
2011-05-25,2543194,386067,41651,6516,3004,33,36,3
2011-05-27,2545800,386638,42359,6619,2991,33,36,3
2011-05-29,2546765,386719,42531,6603,2996,36,37,3
2011-05-31,2547680,386754,42707,6829,2991,36,37,3
2011-06-02,2549560,387241,42957,6697,2996,39,37,3
2011-06-04,2919842,393746,49257,6764,3002,45,37,3
2011-06-06,2917067,393236,49367,6776,3020,43,35,3
2011-06-08,2924034,395785,50001,6850,3056,40,35,3
2011-06-10,2925337,396046,50749,6915,3047,41,35,3
2011-06-12,2929628,396733,50924,6948,3017,41,36,3
2011-06-14,2930351,396846,50818,6930,2991,39,64,3
2011-06-16,3091224,416405,51021,6986,2972,41,53,3
2011-06-18,2934577,398165,51270,7012,2969,41,55,3
2011-06-20,2939103,398399,51271,7023,2974,41,54,3
2011-06-22,2940880,398848,51598,7069,3003,40,59,3
2011-06-24,2943306,399155,51871,7071,3075,42,59,3
2011-06-26,2938551,395210,52019,7082,3560,42,59,3
2011-06-28,2947374,399853,52139,7082,3250,42,60,3
2011-06-30,2954833,400811,52305,7109,3227,44,61,3
2011-07-02,2968856,401322,52529,7139,3259,43,61,3
2011-07-04,2967471,401044,52621,7148,3254,41,61,3
2011-07-06,2953347,396925,52694,7153,3242,42,63,3
2011-07-08,2953440,397305,53014,7199,3251,44,56,3
2011-07-10,2956204,398136,53117,7214,3242,42,57,3
2011-07-12,2955587,397484,53205,7231,3182,42,59,3
2011-07-14,2954237,398115,53500,7256,3160,40,58,3
2011-07-16,2583750,398606,46616,7030,3170,38,58,3
2011-07-18,2584574,398265,46864,7062,3150,39,58,3
2011-07-20,2964326,399378,54341,7355,3229,42,59,3
2011-07-22,6245828,401035,115894,7376,3237,44,58,3
2011-07-24,2971777,401054,54479,7353,2779,40,60,3
2011-07-26,2972797,401312,54617,7384,2839,41,60,3
2011-07-28,2977535,402492,54831,7397,2816,42,59,3
2011-07-30,2984649,403156,55035,7444,2817,45,56,3
2011-08-01,2981417,402672,54985,7439,2816,46,58,3
2011-08-03,2986654,403061,55279,7473,2870,47,56,3
2011-08-05,2988624,403553,55338,7493,2778,45,58,3
2011-08-07,2989998,403642,55363,7493,2761,46,59,3
2011-08-09,2992356,404331,54922,7439,2729,46,58,3
2011-08-11,2999235,405337,55571,7507,2794,47,59,3
2011-08-13,2997587,404375,55823,7547,2798,45,59,3
2011-08-15,2997457,404508,55899,7548,2639,45,59,3
2011-08-17,3001444,405104,56678,7627,2601,45,58,3
2011-08-19,3004406,405749,56118,7611,2656,50,59,3
2011-08-21,3005601,405916,56128,7553,2653,45,59,3
2011-08-23,3004984,406091,56744,7643,2692,45,59,3
2011-08-25,3010739,406952,56838,7651,2701,46,59,3
2011-08-27,3013167,407438,56962,7678,2892,45,63,3
2011-08-29,3011118,407160,56937,7675,2903,46,61,3
2011-08-31,3015612,407862,56703,7692,2890,47,63,3
2011-09-02,3016352,407719,57009,7738,2875,47,69,3
2011-09-04,3018400,407508,56653,7647,2878,45,69,3
2011-09-06,3019417,407789,56631,7651,2926,44,70,3
2011-09-08,3020757,408329,56800,7665,2871,43,65,3
2011-09-10,3024902,408920,56409,7572,2883,43,62,3
2011-09-12,3019565,405629,56757,7658,2883,43,65,3
2011-09-14,3020680,405970,56945,7672,2972,47,64,3
2011-09-16,3022696,406182,56991,7684,2994,40,67,3
2011-09-18,3026795,406760,57130,7705,2914,40,65,3
2011-09-20,3029009,407161,57046,7691,2948,39,70,3
2011-09-22,3039395,409172,57305,7725,2948,40,65,3
2011-09-24,3041813,409021,57631,7761,2943,43,64,3
2011-09-26,3045864,409605,57601,7749,2937,45,66,3
2011-09-28,3048010,410001,57746,7772,2903,47,66,3
2011-09-30,3055181,411534,57880,7786,2951,50,65,3
2011-10-02,3060260,412285,58030,7804,2937,51,66,3
2011-10-04,3062937,412721,51966,7814,2899,51,36,3
2011-10-06,3067493,413925,58179,7829,2892,51,63,3
2011-10-08,3069976,414421,58423,7860,2934,49,65,3
2011-10-10,3068450,414708,58352,7848,2900,48,64,3
2011-10-12,3073278,415762,58485,7866,2961,50,67,3
2011-10-14,3080587,417248,58713,7911,2974,53,67,3
2011-10-16,3087572,418521,58900,7923,2989,52,68,3
2011-10-18,3093574,419506,59110,7946,2998,49,67,3
2011-10-20,3096590,420783,59357,7986,3096,50,68,3
2011-10-22,3103777,423191,59450,8012,3122,50,68,3
2011-10-24,3111332,423143,59443,8011,3088,49,67,3
2011-10-26,3115504,423936,59394,8010,3135,46,68,3
2011-10-28,3100243,421909,59487,8030,3140,46,69,3
2011-10-30,3083994,415402,59609,8024,3086,46,71,3
2011-11-01,3107500,423565,59604,8042,3211,48,69,3
2011-11-03,3113395,424520,59783,8066,3197,46,69,3
2011-11-05,3120804,426815,59937,8065,3216,48,69,3
2011-11-07,3119961,426669,59928,8083,3139,48,67,3
2011-11-09,3126306,428036,60048,8100,3472,49,68,3
2011-11-11,3125617,428006,60217,8127,3215,50,67,3
2011-11-13,3124415,428246,59495,8100,3112,48,65,3
2011-11-15,3131910,429227,60640,8170,3256,51,68,3
2011-11-17,3108985,418617,60778,8164,3178,49,66,3
2011-11-19,3140114,430705,60574,8158,3211,51,67,3
2011-11-21,3140602,430986,60548,8153,3179,49,67,3
2011-11-23,3145702,432080,60662,8163,3108,50,67,3
2011-11-25,3123407,420558,60885,8203,3137,50,67,3
2011-11-27,3123762,420501,60862,8198,3170,54,67,3
2011-11-29,3123708,420732,60873,8205,3270,54,68,3
2011-12-01,3125805,421794,61057,8222,3212,53,68,3
2011-12-03,3129091,422307,61389,8272,3165,52,69,3
2011-12-05,3129838,422522,61354,8266,3173,54,67,3
2011-12-07,3131733,422899,61476,8287,3246,51,69,3
2011-12-09,3138820,424314,61760,8315,3263,50,68,3
2011-12-11,3140523,425169,61844,8321,3185,53,67,3
2011-12-13,3141820,424674,61871,8323,3201,48,66,3
2011-12-15,3156030,426548,62084,8350,3217,51,67,3
2011-12-17,3161691,428111,62221,8368,3254,51,39,3
2011-12-19,3164093,428683,62224,8367,3323,52,39,3
2011-12-21,3161752,428700,61975,8360,3253,52,41,3
2011-12-23,3164289,429181,62291,8390,3210,52,35,3
2011-12-25,3164622,428898,61118,8268,3266,50,35,3
